id,video_id,user_id,talk,created_at,updated_at
45,1069028813,400667244,"说不定树看见up时是这么想的!
“我捧头仰望蔷薇的碧蓝,而低头俯看野草的油绿,当我享受着朝阳的庇护时，一个少年静静走上前来，与我谈起孤独，而我与其聊自由，他眼眸里含着我向往的朝曦，手中捧着未来的期望，脚下弥漫如画的风景，少年啊少年，美好的远方有许许多多枫树，有宽阔河沙数的人，也有无数次与山峦岩石景遇见的机会，所以别把孤独雕刻在尘笼里，尘笼里应满是期盼和风景。”
不好意思，我的文字差多了[保卫萝卜_哭哭]",2023-05-30 20:33:24,
46,1072886181,1076872109,知道你们想要什么，帅帅安安,2023-05-30 20:33:24,
47,1070912246,162151104,如果没有朋友和你一起玩我的世界不妨来我最近新开的服务器试试！??邀请码：740606046 进服教程在群文件里都有 手机电脑都可以进哦！服务器我会尽力全力去运营，但可能也会有一些不足的地方，还请大家多多包容[打call],2023-05-30 20:33:24,
48,1076166115,676128647,钟仁认证dance line！呜呜呜,2023-05-30 20:33:24,
49,1072653268,3461565017754464,来啦来啦~,2023-06-27 21:49:36,2023-06-27 21:49:36
50,1072653268,3461565017754464,沙发沙发,2023-06-27 21:50:54,2023-06-27 21:50:54
51,1073696607,3461565017754464,沙发沙发,2023-07-08 21:48:58,2023-07-08 21:48:58
52,1073815725,3461565017754464,沙发沙发,2023-07-08 21:49:12,2023-07-08 21:49:12
53,1076409266,3461565017754464,真的很赞,2023-07-08 21:51:05,2023-07-08 21:51:05
54,1076767277,3461565017754464,占楼,2023-07-08 21:52:16,2023-07-08 21:52:16
55,1076767277,3461565017754464,测试评论,2023-07-08 21:52:59,2023-07-08 21:52:59
56,1076767277,3461565017754464,测试用,2023-07-08 21:53:34,2023-07-08 21:53:34
57,1071272790,3461565017754464,沙发,2023-07-08 21:54:30,2023-07-08 21:54:30
58,1071272790,3461565017754464,测试用,2023-07-08 21:55:36,2023-07-08 21:55:36
59,1071272790,3461565017754464,测试用,2023-07-08 21:56:25,2023-07-08 21:56:25
60,1075984023,3461565017754464,沙发,2023-07-08 21:57:54,2023-07-08 21:57:54
